Upload Face Image,output,flag,username,timestamp
"{""path"":""flagged\\Upload Face Image\\22471e285e928d7b86a3\\Untitled.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\Pial\\AppData\\Local\\Temp\\gradio\\c39c1f8062bf509615c3be7dde0ccff7d4d69263\\Untitled.jpg"",""size"":6194,""orig_name"":""Untitled.jpg"",""mime_type"":""""}","{""label"":""Fake"",""confidences"":[{""label"":""Fake"",""confidence"":0.8730309009552002},{""label"":""Real"",""confidence"":0.12696915864944458}]}",,,2026-03-18 12:10:23.236721
"{""path"":""flagged\\Upload Face Image\\11f987ce8fa8dfff1045\\Untitled.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\Pial\\AppData\\Local\\Temp\\gradio\\c39c1f8062bf509615c3be7dde0ccff7d4d69263\\Untitled.jpg"",""size"":6194,""orig_name"":""Untitled.jpg"",""mime_type"":""""}","{""label"":""Fake"",""confidences"":[{""label"":""Fake"",""confidence"":0.8730309009552002},{""label"":""Real"",""confidence"":0.12696915864944458}]}",,,2026-03-18 12:10:26.836797
